id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,153,273,23,06:46:00,12:32:00
AN,369,503,121,06:36:00,12:45:00
CA,148,281,0,01:39:00,11:29:00
CE,190,339,7,06:36:00,12:32:00
CY,268,390,18,06:36:00,11:29:00
MA,103,249,0,04:11:00,18:24:00
PA,61,85,20,06:36:00,11:50:00
PB,181,216,127,05:39:00,18:59:00
SJ,325,395,200,23:50:00,12:32:00
TE,84,117,54,06:36:00,19:58:00
