id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,91,245,1,04:55:00,13:14:00
AN,370,510,193,04:55:00,13:14:00
CA,143,283,0,01:56:00,12:13:00
CE,226,341,67,04:55:00,13:14:00
CY,281,378,80,04:55:00,12:13:00
MA,86,261,0,07:27:00,12:13:00
PA,54,72,32,07:27:00,13:14:00
PB,137,196,77,07:27:00,22:04:00
SA,216,273,131,04:55:00,10:52:00
SJ,349,401,210,04:55:00,12:13:00
TE,69,97,40,16:56:00,12:13:00
