id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,143,293,8,06:50:00,18:45:00
AN,348,509,124,06:50:00,11:59:00
CA,148,276,5,04:58:00,17:55:00
CE,206,353,35,02:40:00,13:44:00
CY,280,396,63,05:54:00,11:59:00
MA,93,242,0,05:54:00,12:55:00
PA,71,98,27,07:57:00,11:59:00
PB,176,213,125,07:31:00,12:41:00
SJ,323,397,175,06:50:00,12:26:00
TE,92,131,55,02:40:00,13:44:00
