poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,22:45:00,241,-1,22:45:00
2,Cervantes,-1,251,-1,320,-1,08:19:00,143,-1,14:24:00
3,El Palo,-1,65,-1,86,-1,20:37:00,36,-1,11:46:00
4,Av. de Andalucía,-1,401,-1,486,-1,04:47:00,280,-1,13:35:00
5,Camas,-1,117,-1,257,-1,07:57:00,1,-1,12:13:00
6,Cruz De Humilladero,100,76,-1,100,-1,21:35:00,54,-1,12:27:00
8,Alcazaba,-1,123,-1,264,-1,08:29:00,0,-1,21:12:00
9,San Juan De La Cruz,410,378,-1,398,-1,23:45:00,364,-1,15:58:00
10,Pz. de la Marina,324,99,-1,248,-1,07:27:00,0,-1,22:25:00
12,Tejón y Rodriguez,-1,79,-1,107,-1,09:10:00,18,-1,22:55:00
138,El Carmen,-1,-1,-1,-1,-1,22:45:00,-1,-1,22:45:00
139,Mármoles,-1,-1,-1,-1,-1,22:45:00,-1,-1,22:45:00
140,El Limonar,161,-1,-1,-1,-1,22:45:00,-1,-1,22:45:00
142,Bailén,-1,-1,-1,-1,-1,22:45:00,-1,-1,22:45:00
