poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,17:49:00,241,-1,17:49:00
2,Cervantes,-1,192,-1,332,-1,05:55:00,13,-1,12:45:00
3,El Palo,-1,72,-1,87,-1,07:57:00,43,-1,12:35:00
4,Av. de Andalucía,-1,385,-1,506,-1,03:45:00,146,-1,12:35:00
5,Camas,-1,186,-1,300,-1,06:58:00,21,-1,12:55:00
6,Cruz De Humilladero,100,80,-1,97,-1,22:36:00,15,-1,12:11:00
8,Alcazaba,-1,175,-1,283,-1,06:28:00,69,-1,20:55:00
9,San Juan De La Cruz,410,323,-1,391,-1,00:27:00,168,-1,10:56:00
10,Pz. de la Marina,324,124,-1,250,-1,02:16:00,0,-1,12:35:00
12,Tejón y Rodriguez,-1,90,-1,120,-1,07:24:00,58,-1,12:11:00
138,El Carmen,-1,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
139,Mármoles,-1,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
140,El Limonar,161,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
142,Bailén,-1,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
