dato,id,libres
OCUPACION,AL,296
OCUPACION,MA,248
OCUPACION,CA,282
OCUPACION,PA,86
OCUPACION,AN,512
OCUPACION,TE,114
OCUPACION,CE,329
OCUPACION,CY,382
OCUPACION,SJ,392
OCUPACION,PB,197
