poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,05:47:00,241,-1,05:47:00
2,Cervantes,-1,248,-1,297,-1,08:39:00,177,-1,22:12:00
3,El Palo,-1,45,-1,68,-1,05:47:00,13,-1,15:37:00
4,Av. de Andalucía,-1,423,-1,492,-1,05:47:00,291,-1,13:35:00
5,Camas,-1,126,-1,256,-1,05:47:00,0,-1,11:46:00
6,Cruz De Humilladero,100,78,-1,89,-1,21:55:00,61,-1,13:35:00
8,Alcazaba,-1,124,-1,251,-1,07:17:00,0,-1,20:57:00
9,San Juan De La Cruz,410,389,-1,398,-1,01:57:00,381,-1,13:46:00
10,Pz. de la Marina,324,109,-1,253,-1,07:57:00,0,-1,13:35:00
12,Tejón y Rodriguez,-1,62,-1,97,-1,07:27:00,24,-1,00:12:00
138,El Carmen,-1,-1,-1,-1,-1,05:47:00,-1,-1,05:47:00
139,Mármoles,-1,-1,-1,-1,-1,05:47:00,-1,-1,05:47:00
140,El Limonar,161,-1,-1,-1,-1,05:47:00,-1,-1,05:47:00
142,Bailén,-1,-1,-1,-1,-1,05:47:00,-1,-1,05:47:00
