dato,id,libres
OCUPACION,AL,38
OCUPACION,MA,1
OCUPACION,CA,0
OCUPACION,PA,16
OCUPACION,AN,309
OCUPACION,TE,73
OCUPACION,CE,169
OCUPACION,CY,335
OCUPACION,SJ,374
OCUPACION,PB,52
