poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,02:59:00,241,-1,02:59:00
2,Cervantes,-1,214,-1,326,-1,01:45:00,29,-1,12:45:00
3,El Palo,-1,65,-1,87,-1,08:36:00,21,-1,19:47:00
4,Av. de Andalucía,-1,377,-1,507,-1,02:59:00,137,-1,13:10:00
5,Camas,-1,160,-1,290,-1,04:19:00,1,-1,12:15:00
6,Cruz De Humilladero,100,76,-1,94,-1,21:46:00,33,-1,10:55:00
8,Alcazaba,-1,181,-1,285,-1,06:21:00,28,-1,12:45:00
9,San Juan De La Cruz,410,330,-1,395,-1,02:59:00,158,-1,12:15:00
10,Pz. de la Marina,324,108,-1,246,-1,04:19:00,0,-1,12:55:00
12,Tejón y Rodriguez,-1,105,-1,144,-1,06:55:00,75,-1,13:25:00
138,El Carmen,-1,-1,-1,-1,-1,02:59:00,-1,-1,02:59:00
139,Mármoles,-1,-1,-1,-1,-1,02:59:00,-1,-1,02:59:00
140,El Limonar,161,-1,-1,-1,-1,02:59:00,-1,-1,02:59:00
142,Bailén,-1,-1,-1,-1,-1,02:59:00,-1,-1,02:59:00
