id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,169,238,2,00:16:00,20:10:00
AN,380,485,254,23:59:00,14:28:00
CA,184,242,17,00:16:00,19:45:00
CE,212,286,99,23:38:00,14:28:00
CY,235,333,184,23:49:00,14:28:00
MA,119,205,1,23:59:00,17:56:00
PA,64,77,46,22:14:00,18:39:00
PB,185,195,141,00:16:00,19:35:00
SJ,324,391,266,23:49:00,14:28:00
TE,68,84,13,00:16:00,20:30:00
