id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,187,279,73,08:25:00,22:13:00
AN,383,506,227,03:57:00,19:59:00
CA,118,270,0,07:18:00,20:13:00
CE,265,330,139,02:14:00,15:12:00
CY,314,373,201,22:45:00,11:58:00
MA,82,216,0,07:28:00,11:28:00
PA,68,86,34,00:38:00,12:25:00
PB,172,206,103,02:54:00,14:46:00
SJ,374,391,343,23:26:00,14:56:00
TE,46,100,0,08:15:00,13:44:00
