poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,13:45:00,241,-1,13:45:00
2,Cervantes,-1,198,-1,319,-1,05:56:00,1,-1,12:45:00
3,El Palo,-1,63,-1,82,-1,07:58:00,28,-1,10:29:00
4,Av. de Andalucía,-1,362,-1,503,-1,05:56:00,128,-1,13:11:00
5,Camas,-1,131,-1,270,-1,05:46:00,1,-1,11:58:00
6,Cruz De Humilladero,100,85,-1,99,-1,05:56:00,59,-1,11:48:00
8,Alcazaba,-1,113,-1,272,-1,06:39:00,0,-1,13:45:00
9,San Juan De La Cruz,410,333,-1,394,-1,01:47:00,188,-1,12:45:00
10,Pz. de la Marina,324,86,-1,246,-1,03:13:00,0,-1,13:45:00
12,Tejón y Rodriguez,-1,74,-1,111,-1,07:38:00,36,-1,13:25:00
138,El Carmen,-1,-1,-1,-1,-1,13:45:00,-1,-1,13:45:00
139,Mármoles,-1,-1,-1,-1,-1,13:45:00,-1,-1,13:45:00
140,El Limonar,161,-1,-1,-1,-1,13:45:00,-1,-1,13:45:00
142,Bailén,-1,-1,-1,-1,-1,13:45:00,-1,-1,13:45:00
