poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,07:48:00,241,-1,07:48:00
2,Cervantes,-1,138,-1,288,-1,04:55:00,0,-1,11:46:00
3,El Palo,-1,62,-1,79,-1,07:48:00,22,-1,11:56:00
4,Av. de Andalucía,-1,378,-1,506,-1,04:55:00,164,-1,12:45:00
5,Camas,-1,119,-1,286,-1,00:59:00,0,-1,12:15:00
6,Cruz De Humilladero,100,78,-1,95,-1,07:48:00,61,-1,12:15:00
8,Alcazaba,-1,117,-1,261,-1,06:55:00,0,-1,13:56:00
9,San Juan De La Cruz,410,357,-1,396,-1,04:55:00,250,-1,11:46:00
10,Pz. de la Marina,324,85,-1,212,-1,04:30:00,0,-1,13:25:00
12,Tejón y Rodriguez,-1,58,-1,91,-1,06:45:00,7,-1,22:14:00
138,El Carmen,-1,-1,-1,-1,-1,07:48:00,-1,-1,07:48:00
139,Mármoles,-1,-1,-1,-1,-1,07:48:00,-1,-1,07:48:00
140,El Limonar,161,-1,-1,-1,-1,07:48:00,-1,-1,07:48:00
142,Bailén,-1,-1,-1,-1,-1,07:48:00,-1,-1,07:48:00
