poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,11:00:00,241,-1,11:00:00
2,Cervantes,-1,214,-1,317,-1,03:09:00,45,-1,12:55:00
3,El Palo,-1,49,-1,88,-1,07:57:00,1,-1,13:11:00
4,Av. de Andalucía,-1,381,-1,499,-1,05:59:00,184,-1,13:36:00
5,Camas,-1,132,-1,228,-1,05:59:00,0,-1,11:38:00
6,Cruz De Humilladero,100,78,-1,91,-1,01:57:00,59,-1,20:45:00
8,Alcazaba,-1,178,-1,278,-1,05:59:00,61,-1,13:25:00
9,San Juan De La Cruz,410,357,-1,399,-1,03:09:00,247,-1,12:30:00
10,Pz. de la Marina,324,116,-1,249,-1,06:56:00,0,-1,12:19:00
12,Tejón y Rodriguez,-1,75,-1,104,-1,06:56:00,40,-1,13:56:00
138,El Carmen,-1,-1,-1,-1,-1,11:00:00,-1,-1,11:00:00
139,Mármoles,-1,-1,-1,-1,-1,11:00:00,-1,-1,11:00:00
140,El Limonar,161,-1,-1,-1,-1,11:00:00,-1,-1,11:00:00
142,Bailén,-1,-1,-1,-1,-1,11:00:00,-1,-1,11:00:00
