poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,247,-1,247,-1,06:29:00,247,-1,06:29:00
2,Cervantes,-1,221,-1,326,-1,07:00:00,99,-1,13:56:00
3,El Palo,-1,49,-1,90,-1,08:36:00,7,-1,13:25:00
4,Av. de Andalucía,-1,377,-1,499,-1,05:46:00,192,-1,13:25:00
5,Camas,-1,159,-1,268,-1,06:29:00,1,-1,11:55:00
6,Cruz De Humilladero,100,75,-1,100,-1,22:25:00,53,-1,12:45:00
8,Alcazaba,-1,166,-1,261,-1,06:50:00,45,-1,13:25:00
9,San Juan De La Cruz,410,344,-1,400,-1,06:29:00,201,-1,12:14:00
10,Pz. de la Marina,324,101,-1,247,-1,06:29:00,0,-1,12:45:00
12,Tejón y Rodriguez,-1,67,-1,91,-1,06:29:00,43,-1,23:35:00
138,El Carmen,-1,-1,-1,-1,-1,06:29:00,-1,-1,06:29:00
139,Mármoles,-1,-1,-1,-1,-1,06:29:00,-1,-1,06:29:00
140,El Limonar,161,-1,-1,-1,-1,06:29:00,-1,-1,06:29:00
142,Bailén,-1,-1,-1,-1,-1,06:29:00,-1,-1,06:29:00
