id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,148,289,29,06:37:00,12:05:00
AN,391,507,184,01:00:00,12:46:00
CA,161,276,1,06:37:00,11:24:00
CE,238,346,86,00:41:00,13:27:00
CY,246,380,17,06:37:00,12:46:00
MA,116,257,0,07:30:00,12:05:00
PA,66,88,43,08:26:00,12:46:00
PB,166,198,129,07:30:00,12:05:00
SJ,330,398,196,03:50:00,11:24:00
TE,70,107,35,06:37:00,12:46:00
