id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,84,186,1,06:23:00,21:47:00
AN,355,502,137,05:03:00,12:19:00
CA,135,280,1,05:46:00,11:33:00
CE,213,326,23,06:23:00,12:49:00
CY,283,394,74,06:55:00,11:33:00
MA,85,241,0,06:23:00,19:32:00
PA,65,93,35,08:23:00,10:55:00
PB,153,207,95,07:45:00,22:58:00
SJ,320,387,161,01:45:00,11:17:00
TE,58,104,19,06:41:00,22:21:00
