dato,id,libres
OCUPACION,AL,275
OCUPACION,MA,246
OCUPACION,CA,283
OCUPACION,PA,83
OCUPACION,AN,466
OCUPACION,TE,123
OCUPACION,CE,306
OCUPACION,CY,349
OCUPACION,SJ,375
OCUPACION,PB,210
