id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,92,212,0,06:55:00,11:49:00
AN,381,500,203,06:35:00,12:29:00
CA,159,271,1,23:55:00,11:49:00
CE,207,330,37,23:55:00,12:29:00
CY,269,388,30,04:05:00,11:18:00
MA,102,236,0,04:58:00,16:21:00
PA,53,76,20,08:18:00,10:34:00
PB,190,213,164,07:46:00,11:18:00
SJ,304,392,123,04:58:00,11:39:00
TE,61,94,0,06:35:00,14:45:00
