id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,142,283,4,06:37:00,21:36:00
AN,381,508,156,03:00:00,12:25:00
CA,133,322,1,00:38:00,12:10:00
CE,223,329,34,03:28:00,12:45:00
CY,284,377,77,00:49:00,12:25:00
MA,91,232,0,03:28:00,12:35:00
PA,62,84,31,07:46:00,11:55:00
PB,181,223,134,07:46:00,15:38:00
SJ,330,395,180,06:57:00,11:45:00
TE,73,112,15,06:28:00,21:13:00
