poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,174,-1,221,-1,03:57:00,137,-1,12:47:00
2,Cervantes,414,55,-1,55,-1,00:14:00,55,-1,00:14:00
3,El Palo,129,6,-1,6,-1,00:14:00,6,-1,00:14:00
4,Av. de Andalucía,517,101,-1,101,-1,00:14:00,101,-1,00:14:00
5,Camas,-1,30,-1,30,-1,00:14:00,30,-1,00:14:00
6,Cruz De Humilladero,100,47,-1,54,-1,12:18:00,40,-1,22:59:00
8,Alcazaba,-1,45,-1,45,-1,00:14:00,45,-1,00:14:00
9,San Juan De La Cruz,350,298,-1,343,-1,23:41:00,258,-1,12:36:00
10,Pz. de la Marina,256,2,-1,2,-1,00:14:00,2,-1,00:14:00
12,Tejón y Rodriguez,-1,32,-1,32,-1,00:14:00,32,-1,00:14:00
138,El Carmen,-1,-1,-1,-1,-1,00:14:00,-1,-1,00:14:00
139,Mármoles,-1,-1,-1,-1,-1,00:14:00,-1,-1,00:14:00
140,El Limonar,161,-1,-1,-1,-1,00:14:00,-1,-1,00:14:00
142,Bailén,-1,-1,-1,-1,-1,00:14:00,-1,-1,00:14:00
