poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,13:11:00,241,-1,13:11:00
2,Cervantes,-1,225,-1,322,-1,05:15:00,50,-1,12:45:00
3,El Palo,-1,59,-1,86,-1,07:58:00,27,-1,12:16:00
4,Av. de Andalucía,-1,378,-1,505,-1,03:59:00,130,-1,12:31:00
5,Camas,-1,164,-1,281,-1,06:59:00,1,-1,11:46:00
6,Cruz De Humilladero,100,78,-1,91,-1,05:15:00,34,-1,12:55:00
8,Alcazaba,-1,166,-1,269,-1,06:39:00,33,-1,13:11:00
9,San Juan De La Cruz,410,330,-1,400,-1,05:15:00,157,-1,11:56:00
10,Pz. de la Marina,324,100,-1,228,-1,07:28:00,0,-1,13:11:00
12,Tejón y Rodriguez,-1,69,-1,108,-1,07:28:00,28,-1,12:31:00
138,El Carmen,-1,-1,-1,-1,-1,13:11:00,-1,-1,13:11:00
139,Mármoles,-1,-1,-1,-1,-1,13:11:00,-1,-1,13:11:00
140,El Limonar,161,-1,-1,-1,-1,13:11:00,-1,-1,13:11:00
142,Bailén,-1,-1,-1,-1,-1,13:11:00,-1,-1,13:11:00
