poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,163,-1,261,-1,04:53:00,75,-1,11:51:00
2,Cervantes,414,172,-1,292,-1,04:53:00,18,-1,11:51:00
3,El Palo,129,41,-1,61,-1,06:14:00,21,-1,18:13:00
4,Av. de Andalucía,517,352,-1,509,-1,06:14:00,127,-1,11:51:00
5,Camas,-1,138,-1,277,-1,05:42:00,0,-1,11:45:00
6,Cruz De Humilladero,100,72,-1,89,-1,22:33:00,42,-1,11:51:00
8,Alcazaba,-1,115,-1,256,-1,05:42:00,12,-1,13:07:00
9,San Juan De La Cruz,350,287,-1,340,-1,23:51:00,205,-1,11:14:00
10,Pz. de la Marina,256,101,-1,274,-1,05:42:00,0,-1,12:10:00
12,Tejón y Rodriguez,-1,61,-1,106,-1,06:48:00,18,-1,12:10:00
138,El Carmen,-1,-1,-1,-1,-1,00:00:00,-1,-1,00:00:00
139,Mármoles,-1,-1,-1,-1,-1,00:00:00,-1,-1,00:00:00
140,El Limonar,161,-1,-1,-1,-1,00:00:00,-1,-1,00:00:00
142,Bailén,-1,-1,-1,-1,-1,00:00:00,-1,-1,00:00:00
