dato,id,libres
OCUPACION,AL,16
OCUPACION,MA,21
OCUPACION,CA,19
OCUPACION,PA,59
OCUPACION,AN,409
OCUPACION,TE,0
OCUPACION,CE,30
OCUPACION,CY,398
OCUPACION,SJ,384
OCUPACION,PB,63
