dato,id,libres
OCUPACION,AL,0
OCUPACION,MA,0
OCUPACION,CA,12
OCUPACION,PA,22
OCUPACION,AN,167
OCUPACION,TE,50
OCUPACION,CE,21
OCUPACION,CY,86
OCUPACION,SJ,166
OCUPACION,PB,153
