id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,125,272,3,04:49:00,21:41:00
AN,386,507,196,06:07:00,12:36:00
CA,134,259,1,01:47:00,11:40:00
CE,186,325,48,06:07:00,13:26:00
CY,317,389,184,06:07:00,12:36:00
MA,58,177,0,06:07:00,11:40:00
PA,38,79,3,07:20:00,15:41:00
PB,111,181,29,06:07:00,22:26:00
SA,220,263,148,22:26:00,11:40:00
SJ,364,401,267,23:22:00,12:36:00
TE,57,93,41,08:27:00,13:26:00
