poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,08:46:00,241,-1,08:46:00
2,Cervantes,-1,208,-1,328,-1,04:47:00,20,-1,12:45:00
3,El Palo,-1,68,-1,91,-1,07:47:00,25,-1,11:33:00
4,Av. de Andalucía,-1,353,-1,504,-1,06:38:00,98,-1,12:25:00
5,Camas,-1,154,-1,286,-1,05:46:00,2,-1,11:45:00
6,Cruz De Humilladero,100,76,-1,93,-1,23:29:00,48,-1,12:35:00
8,Alcazaba,-1,190,-1,281,-1,06:38:00,92,-1,19:37:00
9,San Juan De La Cruz,410,330,-1,394,-1,23:29:00,156,-1,11:45:00
10,Pz. de la Marina,324,110,-1,257,-1,06:28:00,0,-1,16:48:00
12,Tejón y Rodriguez,-1,102,-1,136,-1,07:47:00,74,-1,12:25:00
138,El Carmen,-1,-1,-1,-1,-1,08:46:00,-1,-1,08:46:00
139,Mármoles,-1,-1,-1,-1,-1,08:46:00,-1,-1,08:46:00
140,El Limonar,161,-1,-1,-1,-1,08:46:00,-1,-1,08:46:00
142,Bailén,-1,-1,-1,-1,-1,08:46:00,-1,-1,08:46:00
