poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,182,-1,247,-1,01:56:00,109,-1,12:02:00
2,Cervantes,414,55,-1,55,-1,00:33:00,55,-1,00:33:00
3,El Palo,129,6,-1,6,-1,00:33:00,6,-1,00:33:00
4,Av. de Andalucía,517,101,-1,101,-1,00:33:00,101,-1,00:33:00
5,Camas,-1,30,-1,30,-1,00:33:00,30,-1,00:33:00
6,Cruz De Humilladero,100,76,-1,90,-1,00:33:00,62,-1,13:10:00
8,Alcazaba,-1,45,-1,45,-1,00:33:00,45,-1,00:33:00
9,San Juan De La Cruz,350,293,-1,342,-1,00:33:00,225,-1,11:20:00
10,Pz. de la Marina,256,2,-1,2,-1,00:33:00,2,-1,00:33:00
12,Tejón y Rodriguez,-1,32,-1,32,-1,00:33:00,32,-1,00:33:00
138,El Carmen,-1,-1,-1,-1,-1,00:33:00,-1,-1,00:33:00
139,Mármoles,-1,-1,-1,-1,-1,00:33:00,-1,-1,00:33:00
140,El Limonar,161,-1,-1,-1,-1,00:33:00,-1,-1,00:33:00
142,Bailén,-1,-1,-1,-1,-1,00:33:00,-1,-1,00:33:00
