poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,17:49:00,241,-1,17:49:00
2,Cervantes,-1,207,-1,315,-1,06:58:00,0,-1,12:55:00
3,El Palo,-1,69,-1,90,-1,07:56:00,41,-1,12:10:00
4,Av. de Andalucía,-1,373,-1,506,-1,05:55:00,110,-1,12:45:00
5,Camas,-1,156,-1,291,-1,05:55:00,1,-1,12:35:00
6,Cruz De Humilladero,100,78,-1,100,-1,17:49:00,34,-1,11:55:00
8,Alcazaba,-1,179,-1,283,-1,05:45:00,63,-1,12:55:00
9,San Juan De La Cruz,410,321,-1,392,-1,00:58:00,134,-1,12:10:00
10,Pz. de la Marina,324,113,-1,247,-1,06:58:00,0,-1,17:59:00
12,Tejón y Rodriguez,-1,111,-1,134,-1,07:23:00,84,-1,12:45:00
138,El Carmen,-1,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
139,Mármoles,-1,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
140,El Limonar,161,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
142,Bailén,-1,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
