poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,247,-1,247,-1,17:12:00,247,-1,17:12:00
2,Cervantes,-1,258,-1,299,-1,08:59:00,176,-1,22:45:00
3,El Palo,-1,45,-1,71,-1,04:27:00,0,-1,13:35:00
4,Av. de Andalucía,-1,433,-1,492,-1,05:47:00,345,-1,12:58:00
5,Camas,-1,164,-1,252,-1,06:48:00,37,-1,12:13:00
6,Cruz De Humilladero,100,73,-1,84,-1,00:48:00,62,-1,20:57:00
8,Alcazaba,-1,138,-1,233,-1,08:49:00,1,-1,21:35:00
9,San Juan De La Cruz,410,396,-1,408,-1,05:47:00,387,-1,13:35:00
10,Pz. de la Marina,324,112,-1,242,-1,08:28:00,0,-1,20:47:00
12,Tejón y Rodriguez,-1,79,-1,100,-1,08:49:00,43,-1,03:12:00
138,El Carmen,-1,-1,-1,-1,-1,17:12:00,-1,-1,17:12:00
139,Mármoles,-1,-1,-1,-1,-1,17:12:00,-1,-1,17:12:00
140,El Limonar,161,-1,-1,-1,-1,17:12:00,-1,-1,17:12:00
142,Bailén,-1,-1,-1,-1,-1,17:12:00,-1,-1,17:12:00
