poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,10:20:00,241,-1,10:20:00
2,Cervantes,-1,208,-1,340,-1,06:28:00,1,-1,12:55:00
3,El Palo,-1,65,-1,87,-1,08:25:00,29,-1,12:35:00
4,Av. de Andalucía,-1,356,-1,491,-1,00:58:00,102,-1,12:55:00
5,Camas,-1,146,-1,274,-1,03:46:00,0,-1,12:11:00
6,Cruz De Humilladero,100,69,-1,92,-1,07:56:00,36,-1,13:27:00
8,Alcazaba,-1,131,-1,261,-1,03:46:00,0,-1,12:45:00
9,San Juan De La Cruz,410,320,-1,388,-1,03:46:00,158,-1,12:11:00
10,Pz. de la Marina,324,104,-1,231,-1,04:56:00,0,-1,16:38:00
12,Tejón y Rodriguez,-1,69,-1,122,-1,06:28:00,22,-1,13:27:00
138,El Carmen,-1,-1,-1,-1,-1,10:20:00,-1,-1,10:20:00
139,Mármoles,-1,-1,-1,-1,-1,10:20:00,-1,-1,10:20:00
140,El Limonar,161,-1,-1,-1,-1,10:20:00,-1,-1,10:20:00
142,Bailén,-1,-1,-1,-1,-1,10:20:00,-1,-1,10:20:00
