poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,16:45:00,241,-1,16:45:00
2,Cervantes,-1,155,-1,310,-1,07:47:00,3,-1,13:11:00
3,El Palo,-1,65,-1,90,-1,07:57:00,43,-1,19:10:00
4,Av. de Andalucía,-1,316,-1,500,-1,07:47:00,75,-1,12:45:00
5,Camas,-1,127,-1,274,-1,07:57:00,0,-1,12:19:00
6,Cruz De Humilladero,100,68,-1,95,-1,21:35:00,44,-1,11:57:00
8,Alcazaba,-1,106,-1,263,-1,07:57:00,0,-1,13:35:00
9,San Juan De La Cruz,410,309,-1,394,-1,07:47:00,173,-1,10:56:00
10,Pz. de la Marina,324,71,-1,233,-1,07:57:00,0,-1,16:45:00
12,Tejón y Rodriguez,-1,61,-1,98,-1,07:57:00,19,-1,13:45:00
138,El Carmen,-1,-1,-1,-1,-1,16:45:00,-1,-1,16:45:00
139,Mármoles,-1,-1,-1,-1,-1,16:45:00,-1,-1,16:45:00
140,El Limonar,161,-1,-1,-1,-1,16:45:00,-1,-1,16:45:00
142,Bailén,-1,-1,-1,-1,-1,16:45:00,-1,-1,16:45:00
