id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,116,222,1,06:58:00,21:55:00
AN,419,507,305,05:06:00,20:47:00
CA,148,266,13,06:25:00,12:20:00
CE,268,328,163,08:49:00,00:21:00
CY,351,385,327,07:43:00,19:55:00
MA,84,215,0,07:55:00,21:17:00
PA,30,74,0,07:43:00,10:51:00
PB,75,172,0,03:50:00,11:55:00
SJ,392,402,383,07:43:00,13:29:00
TE,65,90,35,17:56:00,22:47:00
