poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,17:49:00,241,-1,17:49:00
2,Cervantes,-1,294,-1,336,-1,08:25:00,208,-1,14:57:00
3,El Palo,-1,72,-1,82,-1,22:35:00,47,-1,15:14:00
4,Av. de Andalucía,-1,454,-1,498,-1,06:28:00,365,-1,12:55:00
5,Camas,-1,162,-1,238,-1,06:12:00,9,-1,15:14:00
6,Cruz De Humilladero,100,89,-1,94,-1,08:35:00,80,-1,15:28:00
8,Alcazaba,-1,124,-1,229,-1,06:28:00,8,-1,14:47:00
9,San Juan De La Cruz,410,383,-1,390,-1,03:30:00,359,-1,14:57:00
10,Pz. de la Marina,324,135,-1,236,-1,09:30:00,0,-1,14:26:00
12,Tejón y Rodriguez,-1,87,-1,103,-1,08:56:00,54,-1,00:57:00
138,El Carmen,-1,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
139,Mármoles,-1,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
140,El Limonar,161,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
142,Bailén,-1,-1,-1,-1,-1,17:49:00,-1,-1,17:49:00
