poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,12:25:00,241,-1,12:25:00
2,Cervantes,-1,196,-1,316,-1,09:47:00,0,-1,18:12:00
3,El Palo,-1,67,-1,81,-1,08:58:00,40,-1,15:45:00
4,Av. de Andalucía,-1,362,-1,504,-1,06:40:00,0,-1,18:47:00
5,Camas,-1,117,-1,225,-1,04:26:00,0,-1,14:39:00
6,Cruz De Humilladero,100,87,-1,93,-1,03:33:00,76,-1,19:37:00
8,Alcazaba,-1,112,-1,238,-1,06:29:00,0,-1,18:12:00
9,San Juan De La Cruz,410,363,-1,389,-1,07:27:00,276,-1,19:47:00
10,Pz. de la Marina,324,105,-1,238,-1,07:00:00,0,-1,12:25:00
12,Tejón y Rodriguez,-1,57,-1,120,-1,11:45:00,0,-1,17:55:00
