poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,21:57:00,241,-1,21:57:00
2,Cervantes,-1,210,-1,329,-1,05:19:00,21,-1,12:35:00
3,El Palo,-1,62,-1,89,-1,07:58:00,28,-1,19:23:00
4,Av. de Andalucía,-1,368,-1,502,-1,03:45:00,127,-1,11:55:00
5,Camas,-1,159,-1,290,-1,06:29:00,0,-1,12:25:00
6,Cruz De Humilladero,100,70,-1,94,-1,23:40:00,23,-1,12:35:00
8,Alcazaba,-1,144,-1,261,-1,06:49:00,0,-1,20:46:00
9,San Juan De La Cruz,410,325,-1,392,-1,23:50:00,155,-1,11:35:00
10,Pz. de la Marina,324,107,-1,249,-1,05:19:00,0,-1,17:41:00
12,Tejón y Rodriguez,-1,87,-1,123,-1,00:49:00,56,-1,11:45:00
138,El Carmen,-1,-1,-1,-1,-1,21:57:00,-1,-1,21:57:00
139,Mármoles,-1,-1,-1,-1,-1,21:57:00,-1,-1,21:57:00
140,El Limonar,161,-1,-1,-1,-1,21:57:00,-1,-1,21:57:00
142,Bailén,-1,-1,-1,-1,-1,21:57:00,-1,-1,21:57:00
