poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,00:38:00,241,-1,00:38:00
2,Cervantes,-1,195,-1,322,-1,05:45:00,1,-1,12:16:00
3,El Palo,-1,52,-1,80,-1,07:11:00,11,-1,12:16:00
4,Av. de Andalucía,-1,367,-1,502,-1,05:25:00,133,-1,12:55:00
5,Camas,-1,129,-1,269,-1,05:45:00,0,-1,12:45:00
6,Cruz De Humilladero,100,78,-1,93,-1,00:38:00,47,-1,11:36:00
8,Alcazaba,-1,138,-1,289,-1,05:45:00,1,-1,13:35:00
9,San Juan De La Cruz,410,334,-1,397,-1,00:38:00,179,-1,12:31:00
10,Pz. de la Marina,324,90,-1,242,-1,05:45:00,0,-1,13:35:00
12,Tejón y Rodriguez,-1,80,-1,110,-1,06:40:00,17,-1,12:55:00
138,El Carmen,-1,-1,-1,-1,-1,00:38:00,-1,-1,00:38:00
139,Mármoles,-1,-1,-1,-1,-1,00:38:00,-1,-1,00:38:00
140,El Limonar,161,-1,-1,-1,-1,00:38:00,-1,-1,00:38:00
142,Bailén,-1,-1,-1,-1,-1,00:38:00,-1,-1,00:38:00
