poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,21:57:00,241,-1,21:57:00
2,Cervantes,-1,198,-1,326,-1,03:45:00,1,-1,13:29:00
3,El Palo,-1,67,-1,90,-1,07:58:00,36,-1,11:32:00
4,Av. de Andalucía,-1,344,-1,503,-1,06:39:00,100,-1,12:46:00
5,Camas,-1,132,-1,279,-1,05:57:00,0,-1,18:38:00
6,Cruz De Humilladero,100,84,-1,97,-1,23:49:00,60,-1,12:11:00
8,Alcazaba,-1,142,-1,271,-1,06:59:00,0,-1,19:57:00
9,San Juan De La Cruz,410,328,-1,395,-1,23:49:00,167,-1,12:11:00
10,Pz. de la Marina,324,93,-1,253,-1,06:39:00,0,-1,10:36:00
12,Tejón y Rodriguez,-1,79,-1,115,-1,07:25:00,31,-1,21:37:00
138,El Carmen,-1,-1,-1,-1,-1,21:57:00,-1,-1,21:57:00
139,Mármoles,-1,-1,-1,-1,-1,21:57:00,-1,-1,21:57:00
140,El Limonar,161,-1,-1,-1,-1,21:57:00,-1,-1,21:57:00
142,Bailén,-1,-1,-1,-1,-1,21:57:00,-1,-1,21:57:00
