poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,07:48:00,241,-1,07:48:00
2,Cervantes,-1,198,-1,316,-1,04:23:00,3,-1,12:58:00
3,El Palo,-1,65,-1,83,-1,15:55:00,27,-1,11:28:00
4,Av. de Andalucía,-1,380,-1,506,-1,01:57:00,130,-1,12:37:00
5,Camas,-1,165,-1,279,-1,05:25:00,1,-1,12:47:00
6,Cruz De Humilladero,100,80,-1,97,-1,00:26:00,52,-1,11:28:00
8,Alcazaba,-1,148,-1,265,-1,05:14:00,10,-1,12:37:00
9,San Juan De La Cruz,410,320,-1,390,-1,00:26:00,146,-1,11:18:00
10,Pz. de la Marina,324,121,-1,260,-1,06:30:00,0,-1,13:25:00
12,Tejón y Rodriguez,-1,81,-1,112,-1,06:45:00,43,-1,13:15:00
138,El Carmen,-1,-1,-1,-1,-1,07:48:00,-1,-1,07:48:00
139,Mármoles,-1,-1,-1,-1,-1,07:48:00,-1,-1,07:48:00
140,El Limonar,161,-1,-1,-1,-1,07:48:00,-1,-1,07:48:00
142,Bailén,-1,-1,-1,-1,-1,07:48:00,-1,-1,07:48:00
