id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,150,282,32,06:36:00,12:56:00
AN,260,509,0,05:16:00,20:36:00
CA,139,304,0,04:25:00,12:36:00
CE,239,328,39,06:46:00,12:36:00
CY,280,376,87,05:48:00,12:11:00
MA,87,238,0,04:45:00,18:56:00
PA,58,90,5,07:45:00,12:11:00
PB,156,216,86,00:45:00,13:26:00
SJ,325,388,160,03:50:00,11:15:00
TE,68,107,20,04:35:00,14:18:00
