poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,197,-1,231,-1,05:47:00,149,-1,11:56:00
2,Cervantes,-1,122,-1,282,-1,23:56:00,55,-1,07:26:00
3,El Palo,-1,33,-1,78,-1,21:55:00,6,-1,07:26:00
4,Av. de Andalucía,-1,223,-1,486,-1,23:56:00,101,-1,07:26:00
5,Camas,-1,73,-1,209,-1,23:56:00,30,-1,07:26:00
6,Cruz De Humilladero,100,70,-1,80,-1,23:25:00,50,-1,13:35:00
8,Alcazaba,-1,55,-1,118,-1,23:56:00,-1,-1,13:46:00
9,San Juan De La Cruz,-1,317,-1,393,-1,22:25:00,-1,-1,13:46:00
10,Pz. de la Marina,-1,13,-1,95,-1,23:56:00,-1,-1,13:46:00
12,Tejón y Rodriguez,-1,46,-1,82,-1,17:17:00,-1,-1,13:46:00
138,El Carmen,-1,-1,-1,-1,-1,07:26:00,-1,-1,07:26:00
139,Mármoles,-1,-1,-1,-1,-1,07:26:00,-1,-1,07:26:00
140,El Limonar,161,-1,-1,-1,-1,07:26:00,-1,-1,07:26:00
142,Bailén,-1,-1,-1,-1,-1,07:26:00,-1,-1,07:26:00
