poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,08:46:00,241,-1,08:46:00
2,Cervantes,-1,206,-1,331,-1,03:33:00,44,-1,11:45:00
3,El Palo,-1,70,-1,93,-1,08:15:00,46,-1,11:20:00
4,Av. de Andalucía,-1,346,-1,504,-1,06:40:00,85,-1,12:11:00
5,Camas,-1,154,-1,286,-1,05:55:00,2,-1,18:29:00
6,Cruz De Humilladero,100,73,-1,93,-1,03:33:00,42,-1,19:35:00
8,Alcazaba,-1,178,-1,281,-1,06:59:00,64,-1,19:46:00
9,San Juan De La Cruz,410,318,-1,394,-1,06:59:00,140,-1,12:35:00
10,Pz. de la Marina,324,102,-1,248,-1,07:47:00,0,-1,12:56:00
12,Tejón y Rodriguez,-1,94,-1,127,-1,06:40:00,60,-1,12:25:00
138,El Carmen,-1,-1,-1,-1,-1,08:46:00,-1,-1,08:46:00
139,Mármoles,-1,-1,-1,-1,-1,08:46:00,-1,-1,08:46:00
140,El Limonar,161,-1,-1,-1,-1,08:46:00,-1,-1,08:46:00
142,Bailén,-1,-1,-1,-1,-1,08:46:00,-1,-1,08:46:00
