id,media_libres,max_libres,min_libres,max_time_libres,min_time_libres
AL,117,252,3,06:21:00,12:44:00
AN,357,504,116,03:37:00,12:44:00
CA,117,260,1,05:53:00,11:55:00
CE,181,323,6,06:21:00,12:21:00
CY,255,395,21,06:56:00,11:55:00
MA,96,251,0,01:45:00,12:21:00
PA,66,89,32,08:48:00,11:27:00
PB,175,201,132,07:55:00,19:24:00
SJ,308,391,150,00:55:00,11:55:00
TE,71,90,24,08:26:00,12:21:00
