poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,241,-1,04:36:00,241,-1,04:36:00
2,Cervantes,-1,183,-1,308,-1,04:36:00,5,-1,13:25:00
3,El Palo,-1,62,-1,85,-1,01:17:00,32,-1,12:15:00
4,Av. de Andalucía,-1,367,-1,504,-1,04:36:00,89,-1,12:45:00
5,Camas,-1,152,-1,286,-1,04:36:00,0,-1,12:55:00
6,Cruz De Humilladero,100,77,-1,92,-1,23:46:00,46,-1,12:45:00
8,Alcazaba,-1,155,-1,280,-1,07:00:00,3,-1,12:45:00
9,San Juan De La Cruz,410,317,-1,390,-1,04:36:00,158,-1,11:25:00
10,Pz. de la Marina,324,115,-1,252,-1,05:14:00,0,-1,10:55:00
12,Tejón y Rodriguez,-1,85,-1,119,-1,06:30:00,43,-1,13:11:00
138,El Carmen,-1,-1,-1,-1,-1,04:36:00,-1,-1,04:36:00
139,Mármoles,-1,-1,-1,-1,-1,04:36:00,-1,-1,04:36:00
140,El Limonar,161,-1,-1,-1,-1,04:36:00,-1,-1,04:36:00
142,Bailén,-1,-1,-1,-1,-1,04:36:00,-1,-1,04:36:00
