poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,241,-1,247,-1,01:57:00,241,-1,07:58:00
2,Cervantes,-1,222,-1,319,-1,05:25:00,57,-1,13:10:00
3,El Palo,-1,56,-1,86,-1,07:58:00,28,-1,12:15:00
4,Av. de Andalucía,-1,383,-1,494,-1,05:25:00,186,-1,12:55:00
5,Camas,-1,128,-1,254,-1,05:25:00,0,-1,11:36:00
6,Cruz De Humilladero,100,86,-1,98,-1,07:58:00,68,-1,20:30:00
8,Alcazaba,-1,159,-1,275,-1,06:59:00,51,-1,13:25:00
9,San Juan De La Cruz,410,341,-1,399,-1,23:46:00,206,-1,12:30:00
10,Pz. de la Marina,324,80,-1,237,-1,06:29:00,0,-1,09:56:00
12,Tejón y Rodriguez,-1,69,-1,93,-1,06:59:00,43,-1,12:45:00
138,El Carmen,-1,-1,-1,-1,-1,07:58:00,-1,-1,07:58:00
139,Mármoles,-1,-1,-1,-1,-1,07:58:00,-1,-1,07:58:00
140,El Limonar,161,-1,-1,-1,-1,07:58:00,-1,-1,07:58:00
142,Bailén,-1,-1,-1,-1,-1,07:58:00,-1,-1,07:58:00
