poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,min_libres,min_libres_discapacitados
1,Salitre,342,154,-1,260,-1,81,-1
2,Cervantes,414,111,-1,300,-1,36,-1
3,El Palo,129,19,-1,62,-1,6,-1
4,Av. de Andalucía,517,214,-1,506,-1,101,-1
5,Camas,-1,98,-1,276,-1,0,-1
6,Cruz De Humilladero,100,73,-1,91,-1,59,-1
8,Alcazaba,-1,103,-1,238,-1,43,-1
9,San Juan De La Cruz,350,267,-1,340,-1,194,-1
10,Pz. de la Marina,256,81,-1,286,-1,0,-1
12,Tejón y Rodriguez,-1,49,-1,105,-1,32,-1
138,El Carmen,-1,-1,-1,-1,-1,-1,-1
139,Mármoles,-1,-1,-1,-1,-1,-1,-1
140,El Limonar,161,-1,-1,-1,-1,-1,-1
142,Bailén,-1,-1,-1,-1,-1,-1,-1
